id,name,category,alcoholic,instructions,ingredients
374,"Quick F**K",Shot,Alcoholic,"In a shot glass add 1/3 Kahlua first. Then 1/3 Miduri, topping it off with a 1/3 bailey's irish cream","Kahlua, Midori melon liqueur, Baileys irish cream"
375,"Fruit Shake","Other / Unknown","Non alcoholic","Blend til smooth.","Yoghurt, Banana, Orange juice, Fruit, Ice"
376,Melya,"Coffee / Tea","Non alcoholic","Brew espresso. In a coffee mug, place 1 teaspoon of unsweetened powdered cocoa, then cover a teaspoon with honey and drizzle it into the cup. Stir while the coffee brews, this is the fun part. The cocoa seems to coat the honey without mixing, so you get a dusty, sticky mass that looks as though it will never mix. Then all at once, presto! It looks like dark chocolate sauce. Pour hot espresso over the honey, stirring to dissolve. Serve with cream.","Espresso, Honey, Cocoa powder"
377,Gimlet,Cocktail,Alcoholic,"Add all the ingredients to a shaker and fill with ice.

Shake, and strain into a chilled cocktail glass or an Old Fashioned glass filled with fresh ice.

Garnish with a lime wheel.","Gin, Lime Juice, Sugar Syrup, Lime"
378,Zoksel,"Soft Drink",Alcoholic,"No specific mixing instructions, just poor every ingredient in one glass. The lemon goes with it.","Beer, Root beer, Lemonade, Coca-Cola, 7-Up, Creme de Cassis, Lemon"
379,Apello,"Other / Unknown","Non alcoholic","Stirr. Grnish with maraschino cherry.","Orange juice, Grapefruit juice, Apple juice, Maraschino cherry"
380,Avalon,"Ordinary Drink",Alcoholic,"Fill a tall glass with ice. Layer the Finlandia Vodka, lemon and apple juices, Pisang Ambon, and top up with lemonade. Stir slightly and garnish with a spiralled cucumber skin and a red cherry. The cucumber provides zest and looks attractive. This drink, created by Timo Haimi, took first prize in the 1991 Finlandia Vodka Long Drink Competition.","Vodka, Pisang Ambon, Apple juice, Lemon juice, Lemonade"
381,Radler,"Ordinary Drink",Alcoholic,"Pour beer into large mug, slowly add the 7-up (or Sprite).","Beer, 7-Up"
382,Diesel,Beer,Alcoholic,"Pour the lager first then add the blackcurrant cordial. Top up with the cider. The colour sholud be very dark approaching the colour of Guiness.","Lager, Cider, Blackcurrant cordial"
383,Paloma,Cocktail,Alcoholic,"Stir together and serve over ice.","Grape Soda, Tequila"
384,Limeade,"Other / Unknown","Non alcoholic","In a large glass, put the lime juice and sugar, and stir well. Add cold seltzer water to fill. Put the lime peels in the glass. Drink. Repeat until limes or soda run out.","Lime, Sugar, Soda water, Lime peel"
385,Bellini,"Ordinary Drink",Alcoholic,"Pour peach purée into chilled flute, add sparkling wine. Stir gently.","Champagne, Peach schnapps"
386,Abilene,"Ordinary Drink",Alcoholic,"Pour all of the ingredients into a highball glass almost filled with ice cubes. Stir well.","Dark rum, Peach nectar, Orange juice"
387,Bramble,"Ordinary Drink",Alcoholic,"Fill glass with crushed ice. Build gin, lemon juice and simple syrup over. Stir, and then pour blackberry liqueur over in a circular fashion to create marbling effect. Garnish with two blackberries and lemon slice.","Gin, lemon juice, Sugar syrup, Creme de Mure"
388,Almeria,"Ordinary Drink",Alcoholic,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.","Dark rum, Kahlua, Egg white"
389,"Old Pal",Cocktail,Alcoholic,"Chill cocktail glass. Add ingredients to a mixing glass, and fill 2/3 full with ice. Stir about 20 seconds. Empty cocktail glass and strain into the glass. Garnish with a twist of lemon peel.","Rye whiskey, Campari, Dry Vermouth"
390,Thriller,"Ordinary Drink",Alcoholic,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.","Scotch, Wine, Orange juice"
391,Brooklyn,Cocktail,Alcoholic,"Combine ingredients with ice and stir until well-chilled. Strain into a chilled cocktail glass.","Rye Whiskey, Dry Vermouth, Maraschino Liqueur, Angostura Bitters, Maraschino Cherry"
392,Bluebird,"Ordinary Drink",Alcoholic,"In a mixing glass half-filled with crushed ice, combine the gin, triple sec, Curacao, and bitters. Stir well. Strain into a cocktail glass and garnish with the lemon twist and the cherry.","Gin, Triple sec, Blue Curacao, Bitters, Maraschino cherry, Lemon peel"
393,Snowball,"Ordinary Drink",Alcoholic,"Place one ice cube in the glass and add 1 1/2 oz of Advocaat. Fill up the glass with lemonade and decorate with a slice of lemon. Serve at once.","Advocaat, Lemonade, Lemon, Ice"
394,Applecar,"Ordinary Drink",Alcoholic,"Shake all ingredients with ice, strain into a cocktail glass, and serve.","Applejack, Triple sec, Lemon juice"
395,Godchild,"Ordinary Drink",Alcoholic,"Shake all ingredients well with cracked ice, strain into a champagne flute, and serve.","Vodka, Amaretto, Heavy cream"
396,Balmoral,"Ordinary Drink",Alcoholic,"In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass.","Scotch, Sweet Vermouth, Dry Vermouth, Bitters"
397,Acapulco,"Ordinary Drink",Alcoholic,"Combine and shake all ingredients (except mint) with ice and strain into an old-fashioned glass over ice cubes. Add the sprig of mint and serve.","Light rum, Triple sec, Lime juice, Sugar, Egg white, Mint"
398,"501 Blue","Ordinary Drink",Alcoholic,"Mix equal amounts into a glass with ice.","Blue Curacao, Blueberry schnapps, Vodka, Sour mix, 7-Up"
399,Alexander,"Ordinary Drink",Alcoholic,"Shake all ingredients with ice and strain contents into a cocktail glass. Sprinkle nutmeg on top and serve.","Gin, Creme de Cacao, Light cream, Nutmeg"
400,Algonquin,"Ordinary Drink",Alcoholic,"Combine and shake all ingredients with ice, strain contents into a cocktail glass, and serve.","Blended whiskey, Dry Vermouth, Pineapple juice"
401,Smut,"Punch / Party Drink",Alcoholic,"Throw it all together and serve real cold.","Red wine, Peach schnapps, Pepsi Cola, Orange juice"
402,Adam,"Ordinary Drink",Alcoholic,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.","Dark rum, Lemon juice, Grenadine"
403,Melya,"Coffee / Tea","Non alcoholic","Brew espresso. In a coffee mug, place 1 teaspoon of unsweetened powdered cocoa, then cover a teaspoon with honey and drizzle it into the cup. Stir while the coffee brews, this is the fun part. The cocoa seems to coat the honey without mixing, so you get a dusty, sticky mass that looks as though it will never mix. Then all at once, presto! It looks like dark chocolate sauce. Pour hot espresso over the honey, stirring to dissolve. Serve with cream.","Espresso, Honey, Cocoa powder"
404,Mojito,Cocktail,Alcoholic,"Muddle mint leaves with sugar and lime juice. Add a splash of soda water and fill the glass with cracked ice. Pour the rum and top with soda water. Garnish and serve with straw.","Light rum, Lime, Sugar, Mint, Soda water"
405,Mimosa,"Ordinary Drink",Alcoholic,"Ensure both ingredients are well chilled, then mix into the glass. Serve cold.","Champagne, Orange juice"
406,Paloma,Cocktail,Alcoholic,"Stir together and serve over ice.","Grape Soda, Tequila"
407,Orgasm,"Ordinary Drink",Alcoholic,"Shake all ingredients with ice, strain into a chilled cocktail glass, and serve.","Creme de Cacao, Amaretto, Triple sec, Vodka, Light cream"
408,Zombie,Cocktail,Alcoholic,"Blend at high speed for no more than 5 seconds.

Pour into a glass, add ice cubes to fill, then add the garnish.

*Donn’s mix: Bring 3 crushed cinnamon sticks, 1 cup of sugar and 1 cup of water to a boil, stirring until the sugar is dissolved.

Simmer for 2 minutes, then remove from the heat and let sit for at least 2 hours before straining into a clean glass bottle.

Then add 1 part of the syrup and 2 parts of fresh grapefruit juice together.","Rum, Gold rum, 151 proof rum, Pernod, Grenadine, Lime Juice, Angostura Bitters"
409,Gimlet,Cocktail,Alcoholic,"Add all the ingredients to a shaker and fill with ice.

Shake, and strain into a chilled cocktail glass or an Old Fashioned glass filled with fresh ice.

Garnish with a lime wheel.","Gin, Lime Juice, Sugar Syrup, Lime"
410,Limeade,"Other / Unknown","Non alcoholic","In a large glass, put the lime juice and sugar, and stir well. Add cold seltzer water to fill. Put the lime peels in the glass. Drink. Repeat until limes or soda run out.","Lime, Sugar, Soda water, Lime peel"
411,Bramble,"Ordinary Drink",Alcoholic,"Fill glass with crushed ice. Build gin, lemon juice and simple syrup over. Stir, and then pour blackberry liqueur over in a circular fashion to create marbling effect. Garnish with two blackberries and lemon slice.","Gin, lemon juice, Sugar syrup, Creme de Mure"
412,Almeria,"Ordinary Drink",Alcoholic,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.","Dark rum, Kahlua, Egg white"
413,Vampiro,"Ordinary Drink",Alcoholic,"Vampiros may be made in a tall glass or an old fashioned glass. Bartenders may first "rim" the glass with Kosher Salt, which is done by placing a layer of Kosher Salt on a chopping board, moistening the glass' rim with lime juice or water, and then placing the upside down glass rim onto the Kosher Salt, so that the salt sticks to the moistened rim. The second step is to fill half the glass with ice and add one or two shooter glasses full of high quality Tequila. The next stage is to add the flavouring elements. This is done by squeezing a fresh lime into the glass, adding a few grains of salt, adding citrus-flavoured soda pop, until the glass is 4/5 full, and then adding spicy Viuda de Sanchez (or orange juice, lime juice and pico de gallo). The final step is to stir the ingredients so that the flavours are properly blended.","Tequila, Tomato Juice, Orange Juice, Lime Juice, Sugar Syrup, Salt"
414,Martini,Cocktail,Alcoholic,"Straight: Pour all ingredients into mixing glass with ice cubes. Stir well. Strain in chilled martini cocktail glass. Squeeze oil from lemon peel onto the drink, or garnish with olive.","Gin, Dry Vermouth, Olive"
415,Zambeer,"Soft Drink",Alcoholic,"Mix sambuca with rootbeer and stir. Add ice","Sambuca, Root beer, Ice"
416,Ipamena,"Ordinary Drink","Non alcoholic","Cut half a lime into pieces, place in a shaker, add the sugar and crush. Measure the passion fruit juice, add it to the shaker and fill up with ice cubes. Close the shaker and shake vigorously. Pour the liquid into a glass, top up with ginger ale, stir with a teaspoon and then garnish the rim of the glass with a slice of lime","Lime, Brown sugar, Passion fruit juice, Ginger ale, Ice"
417,"Mai Tai","Ordinary Drink",Alcoholic,"Shake all ingredients with ice. Strain into glass. Garnish and serve with straw.","Light rum, Orgeat syrup, Triple sec, Sweet and sour, Cherry"
418,"Rum Sour","Ordinary Drink",Alcoholic,"In a shaker half-filled with ice cubes, combine the rum, lemon juice, and sugar. Shake well. Strain into a sour glass and garnish with the orange slice and the cherry.","Light rum, Lemon juice, Sugar, Orange, Maraschino cherry"
419,Balmoral,"Ordinary Drink",Alcoholic,"In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass.","Scotch, Sweet Vermouth, Dry Vermouth, Bitters"
420,Kamikaze,"Ordinary Drink",Alcoholic,"Shake all ingredients together with ice. Strain into glass, garnish and serve.","Vodka, Triple sec, Lime juice"
421,Manhattan,Cocktail,Alcoholic,"Stirred over ice, strained into a chilled glass, garnished, and served up.","Sweet Vermouth, Bourbon, Angostura bitters, Ice, Maraschino cherry, Orange peel"
422,Americano,"Ordinary Drink",Alcoholic,"Pour the Campari and vermouth over ice into glass, add a splash of soda water and garnish with half orange slice.","Campari, Sweet Vermouth, Lemon peel, Orange peel"
423,"Rum Toddy","Ordinary Drink",Alcoholic,"Dissolve powdered sugar in water in an old-fashioned glass. Add rum and one ice cube and stir. Add the twist of lemon peel and serve.","Rum, Powdered sugar, Lemon peel, Water"
424,"Jam Donut",Shot,Alcoholic,"Coat the rim of a shot glass with sugar using sugar syrup to stick. Add the Chambord raspberry liqueur to the shot glass, and carefully layer the Baileys Irish Cream on top. Serve.","Baileys irish cream, Chambord raspberry liqueur, Sugar syrup, Sugar"
425,Tia-Maria,"Homemade Liqueur",Alcoholic,"Boil water, sugar and coffe for 10 mins and let cool. Add rum and vanilla. Put in clean bottle(s) and leave for 1 week before using.","Water, Brown sugar, Coffee, Rum, Vanilla extract"
426,Casino,"Ordinary Drink",Alcoholic,"Pour all ingredients into shaker with ice cubes. Shake well. Strain into chilled cocktail glass. Garnish with a lemon twist and a maraschino cherry. Serve without a straw.","Gin, Maraschino liqueur, Lemon juice, Orange bitters, Cherry"
427,Avalon,"Ordinary Drink",Alcoholic,"Fill a tall glass with ice. Layer the Finlandia Vodka, lemon and apple juices, Pisang Ambon, and top up with lemonade. Stir slightly and garnish with a spiralled cucumber skin and a red cherry. The cucumber provides zest and looks attractive. This drink, created by Timo Haimi, took first prize in the 1991 Finlandia Vodka Long Drink Competition.","Vodka, Pisang Ambon, Apple juice, Lemon juice, Lemonade"
428,Zinger,"Soft Drink",Alcoholic,"Get a shot glass and pour in three shots of the schnapps. Do the same with the Surge Cola. Then down it like Scheetz would.","Peachtree schnapps, Surge"
429,Negroni,"Ordinary Drink",Alcoholic,"Stir into glass over ice, garnish and serve.","Gin, Campari, Sweet Vermouth"
430,Quentin,"Ordinary Drink",Alcoholic,"In a shaker half-filled with ice cubes, combine the rum, Kahlua, and cream. Shake well. Strain into a cocktail glass and garnish with the nutmeg.","Dark rum, Kahlua, Light cream, Nutmeg"
431,Addison,Cocktail,Alcoholic,"Shake together all the ingredients and strain into a cold glass.","Gin, Vermouth"
432,Snowday,Cocktail,Alcoholic,"Stir all ingredients with ice. Strain into a chilled rocks glass over fresh ice. Express orange peel over drink and garnish.","Vodka, Amaro Montenegro, Ruby Port, Blood Orange, Angostura Bitters, Orange Peel"
433,Martini,Cocktail,Alcoholic,"Straight: Pour all ingredients into mixing glass with ice cubes. Stir well. Strain in chilled martini cocktail glass. Squeeze oil from lemon peel onto the drink, or garnish with olive.","Gin, Dry Vermouth, Olive"
434,Bellini,"Ordinary Drink",Alcoholic,"Pour peach purée into chilled flute, add sparkling wine. Stir gently.","Champagne, Peach schnapps"
435,Abilene,"Ordinary Drink",Alcoholic,"Pour all of the ingredients into a highball glass almost filled with ice cubes. Stir well.","Dark rum, Peach nectar, Orange juice"
436,Ipamena,"Ordinary Drink","Non alcoholic","Cut half a lime into pieces, place in a shaker, add the sugar and crush. Measure the passion fruit juice, add it to the shaker and fill up with ice cubes. Close the shaker and shake vigorously. Pour the liquid into a glass, top up with ginger ale, stir with a teaspoon and then garnish the rim of the glass with a slice of lime","Lime, Brown sugar, Passion fruit juice, Ginger ale, Ice"
437,Veteran,"Ordinary Drink",Alcoholic,"Pour the rum and cherry brandy into an old-fashioned glass almost filled with ice cubes. Stir well.","Dark rum, Cherry brandy"
438,Stinger,"Ordinary Drink",Alcoholic,"Pour in a mixing glass with ice, stir and strain into a cocktail glass. May also be served on rocks in a rocks glass.","Brandy, White Creme de Menthe"
439,Sangria,"Punch / Party Drink",Alcoholic,"Mix all together in a pitcher and refrigerate. Add cloves and cinnamon sticks to taste. Serve in wine glasses.","Red wine, Sugar, Orange juice, Lemon juice, Cloves, Cinnamon"
440,"Gin Fizz","Ordinary Drink",Alcoholic,"Shake all ingredients with ice cubes, except soda water. Pour into glass. Top with soda water.","Gin, Lemon, Powdered sugar, Carbonated water"
441,Danbooka,"Coffee / Tea",Alcoholic,"pour it in and mix it.","Coffee, Everclear"
442,Aviation,Cocktail,Alcoholic,"Add all ingredients into cocktail shaker filled with ice. Shake well and strain into cocktail glass. Garnish with a cherry.","Gin, lemon juice, maraschino liqueur"
443,Brooklyn,Cocktail,Alcoholic,"Combine ingredients with ice and stir until well-chilled. Strain into a chilled cocktail glass.","Rye Whiskey, Dry Vermouth, Maraschino Liqueur, Angostura Bitters, Maraschino Cherry"
444,"410 Gone","Ordinary Drink",Alcoholic,"Mix together and enjoy!","Peach Vodka, Coca-Cola"
445,Snowball,"Ordinary Drink",Alcoholic,"Place one ice cube in the glass and add 1 1/2 oz of Advocaat. Fill up the glass with lemonade and decorate with a slice of lemon. Serve at once.","Advocaat, Lemonade, Lemon, Ice"
446,"Pink Gin","Ordinary Drink",Alcoholic,"Pour the bitters into a wine glass. Swirl the glass to coat the inside with the bitters, shake out the excess. Pour the gin into the glass. Do not add ice.","Bitters, Gin"
447,Affinity,"Ordinary Drink",Alcoholic,"In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass.","Scotch, Sweet Vermouth, Dry Vermouth, Orange bitters"
448,Shot-gun,Shot,Alcoholic,"Pour one part Jack Daneils and one part Jim Beam into shot glass then float Wild Turkey on top.","Jim Beam, Jack Daniels, Wild Turkey"
449,"Gin Sour","Ordinary Drink",Alcoholic,"In a shaker half-filled with ice cubes, combine the gin, lemon juice, and sugar. Shake well. Strain into a sour glass and garnish with the orange slice and the cherry.","Gin, Lemon juice, Sugar, Orange, Maraschino cherry"
450,Manhattan,Cocktail,Alcoholic,"Stirred over ice, strained into a chilled glass, garnished, and served up.","Sweet Vermouth, Bourbon, Angostura bitters, Ice, Maraschino cherry, Orange peel"
451,Rose,"Ordinary Drink",Alcoholic,"Shake together in a cocktail shaker, then strain into chilled glass. Garnish and serve.","Dry Vermouth, Gin, Apricot brandy, Lemon juice, Grenadine, Powdered sugar"
452,Zorro,"Coffee / Tea",Alcoholic,"add all and pour black coffee and add whipped cream on top.","Sambuca, Baileys irish cream, White Creme de Menthe"
453,Bijou,Cocktail,Alcoholic,"Stir in mixing glass with ice and strain
","Orange Bitters, Green Chartreuse, Gin, Sweet Vermouth"
454,Mojito,Cocktail,Alcoholic,"Muddle mint leaves with sugar and lime juice. Add a splash of soda water and fill the glass with cracked ice. Pour the rum and top with soda water. Garnish and serve with straw.","Light rum, Lime, Sugar, Mint, Soda water"
455,Paloma,Cocktail,Alcoholic,"Stir together and serve over ice.","Grape Soda, Tequila"
456,Avalon,"Ordinary Drink",Alcoholic,"Fill a tall glass with ice. Layer the Finlandia Vodka, lemon and apple juices, Pisang Ambon, and top up with lemonade. Stir slightly and garnish with a spiralled cucumber skin and a red cherry. The cucumber provides zest and looks attractive. This drink, created by Timo Haimi, took first prize in the 1991 Finlandia Vodka Long Drink Competition.","Vodka, Pisang Ambon, Apple juice, Lemon juice, Lemonade"
457,Boxcar,"Ordinary Drink",Alcoholic,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a sour glass.","Gin, Triple sec, Lemon juice, Grenadine, Egg white"
458,Casino,"Ordinary Drink",Alcoholic,"Pour all ingredients into shaker with ice cubes. Shake well. Strain into chilled cocktail glass. Garnish with a lemon twist and a maraschino cherry. Serve without a straw.","Gin, Maraschino liqueur, Lemon juice, Orange bitters, Cherry"
459,Zombie,Cocktail,Alcoholic,"Blend at high speed for no more than 5 seconds.

Pour into a glass, add ice cubes to fill, then add the garnish.

*Donn’s mix: Bring 3 crushed cinnamon sticks, 1 cup of sugar and 1 cup of water to a boil, stirring until the sugar is dissolved.

Simmer for 2 minutes, then remove from the heat and let sit for at least 2 hours before straining into a clean glass bottle.

Then add 1 part of the syrup and 2 parts of fresh grapefruit juice together.","Rum, Gold rum, 151 proof rum, Pernod, Grenadine, Lime Juice, Angostura Bitters"
460,Apello,"Other / Unknown","Non alcoholic","Stirr. Grnish with maraschino cherry.","Orange juice, Grapefruit juice, Apple juice, Maraschino cherry"
461,Zoksel,"Soft Drink",Alcoholic,"No specific mixing instructions, just poor every ingredient in one glass. The lemon goes with it.","Beer, Root beer, Lemonade, Coca-Cola, 7-Up, Creme de Cassis, Lemon"
462,Victor,"Ordinary Drink",Alcoholic,"Shake all ingredients with ice, strain into a cocktail glass, and serve.","Gin, Sweet Vermouth, Brandy"
463,Orgasm,"Ordinary Drink",Alcoholic,"Shake all ingredients with ice, strain into a chilled cocktail glass, and serve.","Creme de Cacao, Amaretto, Triple sec, Vodka, Light cream"
464,Frosé,Cocktail,Alcoholic,"Step 1
Pour rosé into a 13x9" pan and freeze until almost solid (it won't completely solidify due to the alcohol), at least 6 hours.

Step 2
Meanwhile, bring sugar and ½ cup water to a boil in a medium saucepan; cook, stirring constantly, until sugar dissolves, about 3 minutes. Add strawberries, remove from heat, and let sit 30 minutes to infuse syrup with strawberry flavor. Strain through a fine-mesh sieve into a small bowl (do not press on solids); cover and chill until cold, about 30 minutes.

Step 3
Scrape rosé into a blender. Add lemon juice, 3½ ounces strawberry syrup, and 1 cup crushed ice and purée until smooth. Transfer blender jar to freezer and freeze until frosé is thickened (aim for milkshake consistency), 25–35 minutes.

Step 4
Blend again until frosé is slushy. Divide among glasses.

Step 5
Do Ahead: Rosé can be frozen 1 week ahead.","Rose, Sugar, Strawberries, Lemon Juice"
465,Mimosa,"Ordinary Drink",Alcoholic,"Ensure both ingredients are well chilled, then mix into the glass. Serve cold.","Champagne, Orange juice"
466,Vampiro,"Ordinary Drink",Alcoholic,"Vampiros may be made in a tall glass or an old fashioned glass. Bartenders may first "rim" the glass with Kosher Salt, which is done by placing a layer of Kosher Salt on a chopping board, moistening the glass' rim with lime juice or water, and then placing the upside down glass rim onto the Kosher Salt, so that the salt sticks to the moistened rim. The second step is to fill half the glass with ice and add one or two shooter glasses full of high quality Tequila. The next stage is to add the flavouring elements. This is done by squeezing a fresh lime into the glass, adding a few grains of salt, adding citrus-flavoured soda pop, until the glass is 4/5 full, and then adding spicy Viuda de Sanchez (or orange juice, lime juice and pico de gallo). The final step is to stir the ingredients so that the flavours are properly blended.","Tequila, Tomato Juice, Orange Juice, Lime Juice, Sugar Syrup, Salt"
467,Negroni,"Ordinary Drink",Alcoholic,"Stir into glass over ice, garnish and serve.","Gin, Campari, Sweet Vermouth"
468,Vesuvio,"Ordinary Drink",Alcoholic,"Shake all ingredients with ice, strain into an old-fashioned glass over ice cubes, and serve.","Light rum, Sweet Vermouth, Lemon, Powdered sugar, Egg white"
469,"Old Pal",Cocktail,Alcoholic,"Chill cocktail glass. Add ingredients to a mixing glass, and fill 2/3 full with ice. Stir about 20 seconds. Empty cocktail glass and strain into the glass. Garnish with a twist of lemon peel.","Rye whiskey, Campari, Dry Vermouth"
470,Scooter,"Ordinary Drink",Alcoholic,"Shake all ingredients well with cracked ice, strain into a cocktail glass, and serve.","Brandy, Amaretto, Light cream"
471,Addison,Cocktail,Alcoholic,"Shake together all the ingredients and strain into a cold glass.","Gin, Vermouth"
472,Snowday,Cocktail,Alcoholic,"Stir all ingredients with ice. Strain into a chilled rocks glass over fresh ice. Express orange peel over drink and garnish.","Vodka, Amaro Montenegro, Ruby Port, Blood Orange, Angostura Bitters, Orange Peel"
473,Danbooka,"Coffee / Tea",Alcoholic,"pour it in and mix it.","Coffee, Everclear"
474,Aviation,Cocktail,Alcoholic,"Add all ingredients into cocktail shaker filled with ice. Shake well and strain into cocktail glass. Garnish with a cherry.","Gin, lemon juice, maraschino liqueur"
475,"410 Gone","Ordinary Drink",Alcoholic,"Mix together and enjoy!","Peach Vodka, Coca-Cola"
476,Spritz,"Ordinary Drink",Alcoholic,"Build into glass over ice, garnish and serve.","Prosecco, Campari, Soda Water"
477,Apello,"Other / Unknown","Non alcoholic","Stirr. Grnish with maraschino cherry.","Orange juice, Grapefruit juice, Apple juice, Maraschino cherry"
478,Vesper,Cocktail,Alcoholic,"Shake over ice until well chilled, then strain into a deep goblet and garnish with a thin slice of lemon peel.","Gin, Vodka, Lillet Blanc"
479,Paloma,Cocktail,Alcoholic,"Stir together and serve over ice.","Grape Soda, Tequila"
480,Vampiro,"Ordinary Drink",Alcoholic,"Vampiros may be made in a tall glass or an old fashioned glass. Bartenders may first "rim" the glass with Kosher Salt, which is done by placing a layer of Kosher Salt on a chopping board, moistening the glass' rim with lime juice or water, and then placing the upside down glass rim onto the Kosher Salt, so that the salt sticks to the moistened rim. The second step is to fill half the glass with ice and add one or two shooter glasses full of high quality Tequila. The next stage is to add the flavouring elements. This is done by squeezing a fresh lime into the glass, adding a few grains of salt, adding citrus-flavoured soda pop, until the glass is 4/5 full, and then adding spicy Viuda de Sanchez (or orange juice, lime juice and pico de gallo). The final step is to stir the ingredients so that the flavours are properly blended.","Tequila, Tomato Juice, Orange Juice, Lime Juice, Sugar Syrup, Salt"
481,Frappé,"Coffee / Tea","Non alcoholic","Mix together. Blend at highest blender speed for about 1 minute. Pour into a glass and drink with a straw. Notes: This works best if everything is cold (if you make fresh coffee, mix it with the milk and let it sit in the fridge for 1/2 hour. If it is not frothy, add more milk, or even just some more milk powder. The froth gradually turns to liquid at the bottom of the glass, so you will find that you can sit and drink this for about 1/2 hour, with more iced coffee continually appearing at the bottom. Very refreshing.","Coffee, Milk, Sugar"
482,"Old Pal",Cocktail,Alcoholic,"Chill cocktail glass. Add ingredients to a mixing glass, and fill 2/3 full with ice. Stir about 20 seconds. Empty cocktail glass and strain into the glass. Garnish with a twist of lemon peel.","Rye whiskey, Campari, Dry Vermouth"
483,Ipamena,"Ordinary Drink","Non alcoholic","Cut half a lime into pieces, place in a shaker, add the sugar and crush. Measure the passion fruit juice, add it to the shaker and fill up with ice cubes. Close the shaker and shake vigorously. Pour the liquid into a glass, top up with ginger ale, stir with a teaspoon and then garnish the rim of the glass with a slice of lime","Lime, Brown sugar, Passion fruit juice, Ginger ale, Ice"
484,"Ice Pick","Ordinary Drink",Alcoholic,"Put Vodka in glass fill with iced tea. Stir in lemon to taste.","Vodka, Iced tea, Lemon juice"
485,Applecar,"Ordinary Drink",Alcoholic,"Shake all ingredients with ice, strain into a cocktail glass, and serve.","Applejack, Triple sec, Lemon juice"
486,Paradise,"Ordinary Drink",Alcoholic,"Shake together over ice. Strain into cocktail glass and serve chilled.","Gin, Apricot Brandy, Orange Juice"
487,Acapulco,"Ordinary Drink",Alcoholic,"Combine and shake all ingredients (except mint) with ice and strain into an old-fashioned glass over ice cubes. Add the sprig of mint and serve.","Light rum, Triple sec, Lime juice, Sugar, Egg white, Mint"
488,"Pink Gin","Ordinary Drink",Alcoholic,"Pour the bitters into a wine glass. Swirl the glass to coat the inside with the bitters, shake out the excess. Pour the gin into the glass. Do not add ice.","Bitters, Gin"
489,"Spice 75",Cocktail,Alcoholic,"Gently warm 60g golden caster sugar in a pan with 30ml water and 1 tbsp allspice. Cook gently until the sugar has dissolved, then leave the mixture to cool. Strain through a sieve lined with a coffee filter (or a double layer of kitchen paper).

Pour 60ml of the spiced syrup into a cocktail shaker along with 200ml rum and 90ml lime juice. Shake with ice and strain between six flute glasses. Top up with 600ml champagne and garnish each with an orange twist.","Sugar, Allspice, Rum, Lime Juice, Champagne, Orange spiral"
490,"Pegu Club",Cocktail,Alcoholic,"Shake, strain, up, cocktail glass","Gin, Orange Curacao, Lime Juice, Angostura Bitters, Orange Bitters"
491,"Pink Moon",Cocktail,Alcoholic,"Slowly shake in a shaker with ice, strain into a square whiskey glass. Top with fresh ice. Add the blackberries to garnish. Add flowers and a green leaf for a special look!","Gin, Coconut Liqueur, Elderflower cordial, Lime Juice, Blackberries"
492,"Pink Lady","Ordinary Drink",Alcoholic,"Shake all ingredients with ice, strain into a cocktail glass, and serve.","Gin, Grenadine, Light cream, Egg white"
493,Applejack,Cocktail,Alcoholic,"Add all ingredients into mixing glass, chill and strain into cocktail glass","Jack Daniels, Midori melon liqueur, Sour mix"
494,Tipperary,Cocktail,Alcoholic,"Stir over ice. Strain into chilled glass. Cut a wide swath of orange peel, and express the orange oils over the drink. Discard orange twist.","Irish Whiskey, Sweet Vermouth, Green Chartreuse"
495,"Rum Punch","Punch / Party Drink",Alcoholic,"Mix all ingredients in a punch bowl and serve.","Rum, Ginger ale, Fruit punch, Orange juice, Ice"
496,Archbishop,"Ordinary Drink",Alcoholic,"In an old-fashioned glass almost filled with ice cubes, combine all of the ingredients. Stir well.","Gin, Wine, Benedictine, Lime"
497,Zipperhead,Shot,Alcoholic,"Fill glass with rocks, add straw before putting in liquor. Then add the ingredients in order, trying to keep layered as much as possible (i.e. Chambord on bottom, then Vodka, Then soda on top).","Chambord raspberry liqueur, Vodka, Soda water"
498,"Wine Punch","Punch / Party Drink",Alcoholic,"Combine all of the ingredients and pour over a block of ice.","Red wine, Lemon, Orange juice, Orange, Pineapple juice"
499,"Lemon Drop",Cocktail,Alcoholic,"Shake and strain into a chilled cocktail glass rimmed with sugar.","Vodka, Cointreau, Lemon"
500,"Porto flip","Ordinary Drink",Alcoholic,"Shake ingredients together in a mixer with ice. Strain into glass, garnish and serve.","Brandy, Port, Egg Yolk"
