Cocktail Name,MidJourney Prompt
Diesel,"Flat lay, vintage speakeasy style. High-quality photo of a Diesel, served in a cocktail glass, featuring Fruité notes. Made with Lager, Cider, Blackcurrant cordial. Instructions: Pour the lager first then add the blackcurrant cordial. Top up with the cider. The colour sholud be very dark approaching the colour of Guiness.. Garnished with a fresh fruit slice, placed on a dark wooden bar counter, moody lighting --v 5"
Zinger,"Flat lay, vintage speakeasy style. High-quality photo of a Zinger, served in a cocktail glass, featuring Fruité notes. Made with Peachtree schnapps, Surge. Instructions: Get a shot glass and pour in three shots of the schnapps. Do the same with the Surge Cola. Then down it like Scheetz would.. Garnished with a fresh fruit slice, placed on a dark wooden bar counter, moody lighting --v 5"
Frosé,"Flat lay, vintage speakeasy style. High-quality photo of a Frosé, served in a cocktail glass, featuring Floral, sucré notes. Made with Rose, Sugar, Strawberries, Lemon Juice. Instructions: Step 1
Pour rosé into a 13x9"" pan and freeze until almost solid (it won't completely solidify due to the alcohol), at least 6 hours.

Step 2
Meanwhile, bring sugar and ½ cup water to a boil in a medium saucepan; cook, stirring constantly, until sugar dissolves, about 3 minutes. Add strawberries, remove from heat, and let sit 30 minutes to infuse syrup with strawberry flavor. Strain through a fine-mesh sieve into a small bowl (do not press on solids); cover and chill until cold, about 30 minutes.

Step 3
Scrape rosé into a blender. Add lemon juice, 3½ ounces strawberry syrup, and 1 cup crushed ice and purée until smooth. Transfer blender jar to freezer and freeze until frosé is thickened (aim for milkshake consistency), 25–35 minutes.

Step 4
Blend again until frosé is slushy. Divide among glasses.

Step 5
Do Ahead: Rosé can be frozen 1 week ahead.. Garnished with a minimalist garnish, placed on a dark wooden bar counter, moody lighting --v 5"
Zoksel,"Flat lay, vintage speakeasy style. High-quality photo of a Zoksel, served in a cocktail glass, featuring Crémeux notes. Made with Beer, Root beer, Lemonade, Coca-Cola, 7-Up, Creme de Cassis, Lemon. Instructions: No specific mixing instructions, just poor every ingredient in one glass. The lemon goes with it.. Garnished with a minimalist garnish, placed on a dark wooden bar counter, moody lighting --v 5"
Vesper,"Flat lay, vintage speakeasy style. High-quality photo of a Vesper, served in a cocktail glass, featuring Fruité notes. Made with Gin, Vodka, Lillet Blanc. Instructions: Shake over ice until well chilled, then strain into a deep goblet and garnish with a thin slice of lemon peel.. Garnished with a fresh fruit slice, placed on a dark wooden bar counter, moody lighting --v 5"
Gimlet,"Flat lay, vintage speakeasy style. High-quality photo of a Gimlet, served in a cocktail glass, featuring Acide, sucré notes. Made with Gin, Lime Juice, Sugar Syrup, Lime. Instructions: Add all the ingredients to a shaker and fill with ice.

Shake, and strain into a chilled cocktail glass or an Old Fashioned glass filled with fresh ice.

Garnish with a lime wheel.. Garnished with a minimalist garnish, placed on a dark wooden bar counter, moody lighting --v 5"
Apello,"Flat lay, vintage speakeasy style. High-quality photo of a Apello, served in a cocktail glass, featuring Fruité, sucré notes. Made with Orange juice, Grapefruit juice, Apple juice, Maraschino cherry. Instructions: Stirr. Grnish with maraschino cherry.. Garnished with a fresh fruit slice, placed on a dark wooden bar counter, moody lighting --v 5"
Sazerac,"Flat lay, vintage speakeasy style. High-quality photo of a Sazerac, served in a cocktail glass, featuring Fumé, sucré notes. Made with Ricard, Sugar, Peychaud bitters, Water, Bourbon, Lemon peel. Instructions: Rinse a chilled old-fashioned glass with the absinthe, add crushed ice, and set it aside. Stir the remaining ingredients over ice and set it aside. Discard the ice and any excess absinthe from the prepared glass, and strain the drink into the glass. Add the lemon peel for garnish.. Garnished with a minimalist garnish, placed on a dark wooden bar counter, moody lighting --v 5"
Veteran,"Flat lay, vintage speakeasy style. High-quality photo of a Veteran, served in a cocktail glass, featuring Fruité notes. Made with Dark rum, Cherry brandy. Instructions: Pour the rum and cherry brandy into an old-fashioned glass almost filled with ice cubes. Stir well.. Garnished with a fresh fruit slice, placed on a dark wooden bar counter, moody lighting --v 5"
Stinger,"Flat lay, vintage speakeasy style. High-quality photo of a Stinger, served in a cocktail glass, featuring Herbacé notes. Made with Brandy, White Creme de Menthe. Instructions: Pour in a mixing glass with ice, stir and strain into a cocktail glass. May also be served on rocks in a rocks glass.. Garnished with a minimalist garnish, placed on a dark wooden bar counter, moody lighting --v 5"
Ipamena,"Flat lay, vintage speakeasy style. High-quality photo of a Ipamena, served in a cocktail glass, featuring Acide, épicé, sucré, épicé notes. Made with Lime, Brown sugar, Passion fruit juice, Ginger ale, Ice. Instructions: Cut half a lime into pieces, place in a shaker, add the sugar and crush. Measure the passion fruit juice, add it to the shaker and fill up with ice cubes. Close the shaker and shake vigorously. Pour the liquid into a glass, top up with ginger ale, stir with a teaspoon and then garnish the rim of the glass with a slice of lime. Garnished with a minimalist garnish, placed on a dark wooden bar counter, moody lighting --v 5"
Bellini,"Flat lay, vintage speakeasy style. High-quality photo of a Bellini, served in a cocktail glass, featuring Fruité notes. Made with Champagne, Peach schnapps. Instructions: Pour peach purée into chilled flute, add sparkling wine. Stir gently.. Garnished with a fresh fruit slice, placed on a dark wooden bar counter, moody lighting --v 5"
Bramble,"Flat lay, vintage speakeasy style. High-quality photo of a Bramble, served in a cocktail glass, featuring Crémeux, sucré notes. Made with Gin, lemon juice, Sugar syrup, Creme de Mure. Instructions: Fill glass with crushed ice. Build gin, lemon juice and simple syrup over. Stir, and then pour blackberry liqueur over in a circular fashion to create marbling effect. Garnish with two blackberries and lemon slice.. Garnished with a minimalist garnish, placed on a dark wooden bar counter, moody lighting --v 5"
Scooter,"Flat lay, vintage speakeasy style. High-quality photo of a Scooter, served in a cocktail glass, featuring Fruité notes. Made with Brandy, Amaretto, Light cream. Instructions: Shake all ingredients well with cracked ice, strain into a cocktail glass, and serve.. Garnished with a fresh fruit slice, placed on a dark wooden bar counter, moody lighting --v 5"
Almeria,"Flat lay, vintage speakeasy style. High-quality photo of a Almeria, served in a cocktail glass, featuring Fruité notes. Made with Dark rum, Kahlua, Egg white. Instructions: In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.. Garnished with a fresh fruit slice, placed on a dark wooden bar counter, moody lighting --v 5"
Vesuvio,"Flat lay, vintage speakeasy style. High-quality photo of a Vesuvio, served in a cocktail glass, featuring Amer, sucré notes. Made with Light rum, Sweet Vermouth, Lemon, Powdered sugar, Egg white. Instructions: Shake all ingredients with ice, strain into an old-fashioned glass over ice cubes, and serve.. Garnished with a minimalist garnish, placed on a dark wooden bar counter, moody lighting --v 5"
Sidecar,"Flat lay, vintage speakeasy style. High-quality photo of a Sidecar, served in a cocktail glass, featuring Fruité, sucré notes. Made with Cognac, Cointreau, Lemon juice. Instructions: Pour all ingredients into cocktail shaker filled with ice. Shake well and strain into cocktail glass.. Garnished with a fresh fruit slice, placed on a dark wooden bar counter, moody lighting --v 5"
Limeade,"Flat lay, vintage speakeasy style. High-quality photo of a Limeade, served in a cocktail glass, featuring Acide, sucré notes. Made with Lime, Sugar, Soda water, Lime peel. Instructions: In a large glass, put the lime juice and sugar, and stir well. Add cold seltzer water to fill. Put the lime peels in the glass. Drink. Repeat until limes or soda run out.. Garnished with a minimalist garnish, placed on a dark wooden bar counter, moody lighting --v 5"
Zambeer,"Flat lay, vintage speakeasy style. High-quality photo of a Zambeer, served in a cocktail glass, featuring Fruité notes. Made with Sambuca, Root beer, Ice. Instructions: Mix sambuca with rootbeer and stir. Add ice. Garnished with a fresh fruit slice, placed on a dark wooden bar counter, moody lighting --v 5"
Frosé,"Flat lay, vintage speakeasy style. High-quality photo of a Frosé, served in a cocktail glass, featuring Floral, sucré notes. Made with Rose, Sugar, Strawberries, Lemon Juice. Instructions: Step 1
Pour rosé into a 13x9"" pan and freeze until almost solid (it won't completely solidify due to the alcohol), at least 6 hours.

Step 2
Meanwhile, bring sugar and ½ cup water to a boil in a medium saucepan; cook, stirring constantly, until sugar dissolves, about 3 minutes. Add strawberries, remove from heat, and let sit 30 minutes to infuse syrup with strawberry flavor. Strain through a fine-mesh sieve into a small bowl (do not press on solids); cover and chill until cold, about 30 minutes.

Step 3
Scrape rosé into a blender. Add lemon juice, 3½ ounces strawberry syrup, and 1 cup crushed ice and purée until smooth. Transfer blender jar to freezer and freeze until frosé is thickened (aim for milkshake consistency), 25–35 minutes.

Step 4
Blend again until frosé is slushy. Divide among glasses.

Step 5
Do Ahead: Rosé can be frozen 1 week ahead.. Garnished with a minimalist garnish, placed on a dark wooden bar counter, moody lighting --v 5"
Affair,"Flat lay, vintage speakeasy style. High-quality photo of a Affair, served in a cocktail glass, featuring Fruité, sucré notes. Made with Strawberry schnapps, Orange juice, Cranberry juice, Club soda. Instructions: Pour schnapps, orange juice, and cranberry juice over ice in a highball glass. Top with club soda and serve.. Garnished with a fresh fruit slice, placed on a dark wooden bar counter, moody lighting --v 5"
Frappé,"Flat lay, vintage speakeasy style. High-quality photo of a Frappé, served in a cocktail glass, featuring Fruité, sucré notes. Made with Coffee, Milk, Sugar. Instructions: Mix together. Blend at highest blender speed for about 1 minute. Pour into a glass and drink with a straw. Notes: This works best if everything is cold (if you make fresh coffee, mix it with the milk and let it sit in the fridge for 1/2 hour. If it is not frothy, add more milk, or even just some more milk powder. The froth gradually turns to liquid at the bottom of the glass, so you will find that you can sit and drink this for about 1/2 hour, with more iced coffee continually appearing at the bottom. Very refreshing.. Garnished with a fresh fruit slice, placed on a dark wooden bar counter, moody lighting --v 5"
Affinity,"Flat lay, vintage speakeasy style. High-quality photo of a Affinity, served in a cocktail glass, featuring Amer, sucré notes. Made with Scotch, Sweet Vermouth, Dry Vermouth, Orange bitters. Instructions: In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass.. Garnished with a minimalist garnish, placed on a dark wooden bar counter, moody lighting --v 5"
Gin Fizz,"Flat lay, vintage speakeasy style. High-quality photo of a Gin Fizz, served in a cocktail glass, featuring Fruité, sucré notes. Made with Gin, Lemon, Powdered sugar, Carbonated water. Instructions: Shake all ingredients with ice cubes, except soda water. Pour into glass. Top with soda water.. Garnished with a fresh fruit slice, placed on a dark wooden bar counter, moody lighting --v 5"
After sex,"Flat lay, vintage speakeasy style. High-quality photo of a After sex, served in a cocktail glass, featuring Crémeux, sucré notes. Made with Vodka, Creme de Banane, Orange juice. Instructions: Pour the vodka and creme over some ice cubes in a tall glass and fill up with juice. to make it beuty full make the top of the glass with a grenadine and sugar. Garnished with a minimalist garnish, placed on a dark wooden bar counter, moody lighting --v 5"
Downshift,"Flat lay, vintage speakeasy style. High-quality photo of a Downshift, served in a cocktail glass, featuring Fruité notes. Made with Fruit punch, Sprite, Tequila, 151 proof rum. Instructions: Start with the Sprite. Next comes the tequila. After that, add the Minute Maid Fruit Punch, then float the 151. Rocks optional.. Garnished with a fresh fruit slice, placed on a dark wooden bar counter, moody lighting --v 5"
Dragonfly,"Flat lay, vintage speakeasy style. High-quality photo of a Dragonfly, served in a cocktail glass, featuring Acide, épicé, épicé notes. Made with Gin, Ginger ale, Lime. Instructions: In a highball glass almost filled with ice cubes, combine the gin and ginger ale. Stir well. Garnish with the lime wedge.. Garnished with a minimalist garnish, placed on a dark wooden bar counter, moody lighting --v 5"
French 75,"Flat lay, vintage speakeasy style. High-quality photo of a French 75, served in a cocktail glass, featuring Fruité, sucré notes. Made with Gin, Sugar, Lemon juice, Champagne, Orange, Maraschino cherry. Instructions: Combine gin, sugar, and lemon juice in a cocktail shaker filled with ice. Shake vigorously and strain into a chilled champagne glass. Top up with Champagne. Stir gently.. Garnished with a fresh fruit slice, placed on a dark wooden bar counter, moody lighting --v 5"
Autodafé,"Flat lay, vintage speakeasy style. High-quality photo of a Autodafé, served in a cocktail glass, featuring Acide, sucré notes. Made with Vodka, Lime juice, Soda water. Instructions: Mix and fill up with soda water. Drunk by finns on a sunny day any time of the year and day.. Garnished with a minimalist garnish, placed on a dark wooden bar counter, moody lighting --v 5"
Foxy Lady,"Flat lay, vintage speakeasy style. High-quality photo of a Foxy Lady, served in a cocktail glass, featuring Crémeux notes. Made with Amaretto, Creme de Cacao, Light cream. Instructions: Shake all ingredients with ice, strain into a chilled cocktail glass, and serve.. Garnished with a minimalist garnish, placed on a dark wooden bar counter, moody lighting --v 5"
Afterglow,"Flat lay, vintage speakeasy style. High-quality photo of a Afterglow, served in a cocktail glass, featuring Fruité, sucré, sucré notes. Made with Grenadine, Orange juice, Pineapple juice. Instructions: Mix. Serve over ice.. Garnished with a fresh fruit slice, placed on a dark wooden bar counter, moody lighting --v 5"
Godfather,"Flat lay, vintage speakeasy style. High-quality photo of a Godfather, served in a cocktail glass, featuring Fruité notes. Made with Scotch, Amaretto. Instructions: Pour all ingredients directly into old fashioned glass filled with ice cubes. Stir gently.. Garnished with a fresh fruit slice, placed on a dark wooden bar counter, moody lighting --v 5"
Afternoon,"Flat lay, vintage speakeasy style. High-quality photo of a Afternoon, served in a cocktail glass, featuring Crémeux notes. Made with Kahlua, Baileys irish cream, Frangelico, Coffee, Cream. Instructions: Build into a suiting glass, with no ice. Cream on top if wanted. Served directly.. Garnished with a minimalist garnish, placed on a dark wooden bar counter, moody lighting --v 5"
Cafe Savoy,"Flat lay, vintage speakeasy style. High-quality photo of a Cafe Savoy, served in a cocktail glass, featuring Fruité notes. Made with Coffee, Milk, Triple sec, Brandy. Instructions: Fill mug almost to top with coffee.Add milk, triple sec and brandy. Stir.. Garnished with a fresh fruit slice, placed on a dark wooden bar counter, moody lighting --v 5"
Vodka Fizz,"Flat lay, vintage speakeasy style. High-quality photo of a Vodka Fizz, served in a cocktail glass, featuring Acide, épicé, épicé notes. Made with Vodka, Half-and-half, Limeade, Ice, Nutmeg. Instructions: Blend all ingredients, save nutmeg. Pour into large white wine glass and sprinkle nutmeg on top.. Garnished with a minimalist garnish, placed on a dark wooden bar counter, moody lighting --v 5"
After Five,"Flat lay, vintage speakeasy style. High-quality photo of a After Five, served in a cocktail glass, featuring Crémeux, épicé notes. Made with Peppermint schnapps, Kahlua, Baileys irish cream. Instructions: 1. Pour Kahlua into shot glass to about 1/2 full. 2. Using a spoon(inverted), slowly pour in the Peppermint Schnapps until glass is about 3/4 full. Done correctly, the Schnapps will flow under the Kahlua for a clear layer. 3. Again using a spoon, but this time right side up, slowly top off the glass with a layer of Bailey's. Be careful to place the spoon right at the top of the Kahlua layer and to raise it as the glass fills up. Done correctly, this will provide a layer of Bailey's floating over the Kahlua. 4. Toss it down all at once for something like a Peppermint Pattie, WITH A BANG!!! NOTE: Best if all ingredients are chilled. Garnished with a minimalist garnish, placed on a dark wooden bar counter, moody lighting --v 5"
Angel Face,"Flat lay, vintage speakeasy style. High-quality photo of a Angel Face, served in a cocktail glass, featuring Fruité notes. Made with Apricot brandy, Apple brandy, Gin. Instructions: Shake all ingredients with ice and strain contents into a cocktail glass.. Garnished with a fresh fruit slice, placed on a dark wooden bar counter, moody lighting --v 5"
Quick F**K,"Flat lay, vintage speakeasy style. High-quality photo of a Quick F**K, served in a cocktail glass, featuring Crémeux, sucré, sucré notes. Made with Kahlua, Midori melon liqueur, Baileys irish cream. Instructions: In a shot glass add 1/3 Kahlua first. Then 1/3 Miduri, topping it off with a 1/3 bailey's irish cream. Garnished with a minimalist garnish, placed on a dark wooden bar counter, moody lighting --v 5"
Brain Fart,"Flat lay, vintage speakeasy style. High-quality photo of a Brain Fart, served in a cocktail glass, featuring Fruité, sucré notes. Made with Everclear, Vodka, Mountain Dew, Surge, Lemon juice, Rum. Instructions: Mix all ingredients together. Slowly and gently. Works best if ice is added to punch bowl and soda's are very cold.. Garnished with a fresh fruit slice, placed on a dark wooden bar counter, moody lighting --v 5"
Porto flip,"Flat lay, vintage speakeasy style. High-quality photo of a Porto flip, served in a cocktail glass, featuring Fruité notes. Made with Brandy, Port, Egg Yolk. Instructions: Shake ingredients together in a mixer with ice. Strain into glass, garnish and serve.. Garnished with a fresh fruit slice, placed on a dark wooden bar counter, moody lighting --v 5"
Royal Fizz,"Flat lay, vintage speakeasy style. High-quality photo of a Royal Fizz, served in a cocktail glass, featuring Fruité, sucré notes. Made with Gin, Sweet and sour, Egg, Coca-Cola. Instructions: Shake all ingredients (except cola) with ice and strain into a chilled collins glass. Fill with cola and serve.. Garnished with a fresh fruit slice, placed on a dark wooden bar counter, moody lighting --v 5"
Frisco Sour,"Flat lay, vintage speakeasy style. High-quality photo of a Frisco Sour, served in a cocktail glass, featuring Acide notes. Made with Blended whiskey, Benedictine, Lemon, Lime, Lemon, Lime. Instructions: Shake all ingredients (except slices of lemon and lime) with ice and strain into a whiskey sour glass. Decorate with the slices of lemon and lime and serve.. Garnished with a minimalist garnish, placed on a dark wooden bar counter, moody lighting --v 5"
Arctic Fish,"Flat lay, vintage speakeasy style. High-quality photo of a Arctic Fish, served in a cocktail glass, featuring Fruité, sucré notes. Made with Vodka, Grape soda, Orange juice, Ice, Candy. Instructions: Fill glass with ice and fish, add vodka, grape soda and orange juice. DO NOT STIR!!!!! Serve well chilled.. Garnished with a fresh fruit slice, placed on a dark wooden bar counter, moody lighting --v 5"
Fruit Shake,"Flat lay, vintage speakeasy style. High-quality photo of a Fruit Shake, served in a cocktail glass, featuring Fruité, sucré notes. Made with Yoghurt, Banana, Orange juice, Fruit, Ice. Instructions: Blend til smooth.. Garnished with a fresh fruit slice, placed on a dark wooden bar counter, moody lighting --v 5"
GG,"Flat lay, vintage speakeasy style. High-quality photo of a GG, served in a cocktail glass, featuring Fruité, épicé, épicé notes. Made with Galliano, Ginger ale, Ice. Instructions: Pour the Galliano liqueur over ice. Fill the remainder of the glass with ginger ale and thats all there is to it. You now have a your very own GG.. Garnished with a fresh fruit slice, placed on a dark wooden bar counter, moody lighting --v 5"
Zinger,"Flat lay, vintage speakeasy style. High-quality photo of a Zinger, served in a cocktail glass, featuring Fruité notes. Made with Peachtree schnapps, Surge. Instructions: Get a shot glass and pour in three shots of the schnapps. Do the same with the Surge Cola. Then down it like Scheetz would.. Garnished with a fresh fruit slice, placed on a dark wooden bar counter, moody lighting --v 5"
Orgasm,"Flat lay, vintage speakeasy style. High-quality photo of a Orgasm, served in a cocktail glass, featuring Crémeux notes. Made with Creme de Cacao, Amaretto, Triple sec, Vodka, Light cream. Instructions: Shake all ingredients with ice, strain into a chilled cocktail glass, and serve.. Garnished with a minimalist garnish, placed on a dark wooden bar counter, moody lighting --v 5"
Gimlet,"Flat lay, vintage speakeasy style. High-quality photo of a Gimlet, served in a cocktail glass, featuring Acide, sucré notes. Made with Gin, Lime Juice, Sugar Syrup, Lime. Instructions: Add all the ingredients to a shaker and fill with ice.

Shake, and strain into a chilled cocktail glass or an Old Fashioned glass filled with fresh ice.

Garnish with a lime wheel.. Garnished with a minimalist garnish, placed on a dark wooden bar counter, moody lighting --v 5"
Negroni,"Flat lay, vintage speakeasy style. High-quality photo of a Negroni, served in a old-fashioned glass, featuring Amer, sucré notes. Made with Gin, Campari, Sweet Vermouth. Instructions: Stir into glass over ice, garnish and serve.. Garnished with a minimalist garnish, placed on a dark wooden bar counter, moody lighting --v 5"
Big Red,"Flat lay, vintage speakeasy style. High-quality photo of a Big Red, served in a cocktail glass, featuring Fruité notes. Made with Irish cream, Goldschlager. Instructions: Pour ingredients into 1 ounce shot glass. Garnished with a fresh fruit slice, placed on a dark wooden bar counter, moody lighting --v 5"
Stinger,"Flat lay, vintage speakeasy style. High-quality photo of a Stinger, served in a cocktail glass, featuring Herbacé notes. Made with Brandy, White Creme de Menthe. Instructions: Pour in a mixing glass with ice, stir and strain into a cocktail glass. May also be served on rocks in a rocks glass.. Garnished with a minimalist garnish, placed on a dark wooden bar counter, moody lighting --v 5"
Sangria,"Flat lay, vintage speakeasy style. High-quality photo of a Sangria, served in a cocktail glass, featuring Fruité, épicé, sucré, épicé notes. Made with Red wine, Sugar, Orange juice, Lemon juice, Cloves, Cinnamon. Instructions: Mix all together in a pitcher and refrigerate. Add cloves and cinnamon sticks to taste. Serve in wine glasses.. Garnished with a fresh fruit slice, placed on a dark wooden bar counter, moody lighting --v 5"
410 Gone,"Flat lay, vintage speakeasy style. High-quality photo of a 410 Gone, served in a cocktail glass, featuring Fruité notes. Made with Peach Vodka, Coca-Cola. Instructions: Mix together and enjoy!. Garnished with a fresh fruit slice, placed on a dark wooden bar counter, moody lighting --v 5"
Godchild,"Flat lay, vintage speakeasy style. High-quality photo of a Godchild, served in a cocktail glass, featuring Fruité notes. Made with Vodka, Amaretto, Heavy cream. Instructions: Shake all ingredients well with cracked ice, strain into a champagne flute, and serve.. Garnished with a fresh fruit slice, placed on a dark wooden bar counter, moody lighting --v 5"
Pink Gin,"Flat lay, vintage speakeasy style. High-quality photo of a Pink Gin, served in a cocktail glass, featuring Fruité notes. Made with Bitters, Gin. Instructions: Pour the bitters into a wine glass. Swirl the glass to coat the inside with the bitters, shake out the excess. Pour the gin into the glass. Do not add ice.. Garnished with a fresh fruit slice, placed on a dark wooden bar counter, moody lighting --v 5"
Shot-gun,"Flat lay, vintage speakeasy style. High-quality photo of a Shot-gun, served in a cocktail glass, featuring Fruité notes. Made with Jim Beam, Jack Daniels, Wild Turkey. Instructions: Pour one part Jack Daneils and one part Jim Beam into shot glass then float Wild Turkey on top.. Garnished with a fresh fruit slice, placed on a dark wooden bar counter, moody lighting --v 5"
Gin Sour,"Flat lay, vintage speakeasy style. High-quality photo of a Gin Sour, served in a sour glass, featuring Fruité, sucré notes. Made with Gin, Lemon juice, Sugar, Orange, Maraschino cherry. Instructions: In a shaker half-filled with ice cubes, combine the gin, lemon juice, and sugar. Shake well. Strain into a sour glass and garnish with the orange slice and the cherry.. Garnished with a fresh fruit slice, placed on a dark wooden bar counter, moody lighting --v 5"
Gin Fizz,"Flat lay, vintage speakeasy style. High-quality photo of a Gin Fizz, served in a cocktail glass, featuring Fruité, sucré notes. Made with Gin, Lemon, Powdered sugar, Carbonated water. Instructions: Shake all ingredients with ice cubes, except soda water. Pour into glass. Top with soda water.. Garnished with a fresh fruit slice, placed on a dark wooden bar counter, moody lighting --v 5"
Algonquin,"Flat lay, vintage speakeasy style. High-quality photo of a Algonquin, served in a cocktail glass, featuring Amer, sucré notes. Made with Blended whiskey, Dry Vermouth, Pineapple juice. Instructions: Combine and shake all ingredients with ice, strain contents into a cocktail glass, and serve.. Garnished with a minimalist garnish, placed on a dark wooden bar counter, moody lighting --v 5"
Allegheny,"Flat lay, vintage speakeasy style. High-quality photo of a Allegheny, served in a cocktail glass, featuring Amer, sucré notes. Made with Dry Vermouth, Bourbon, Blackberry brandy, Lemon juice, Lemon peel. Instructions: Shake all ingredients (except lemon peel) with ice and strain into a cocktail glass. Top with the twist of lemon peel and serve.. Garnished with a minimalist garnish, placed on a dark wooden bar counter, moody lighting --v 5"
Jitterbug,"Flat lay, vintage speakeasy style. High-quality photo of a Jitterbug, served in a cocktail glass, featuring Acide, sucré, sucré notes. Made with Gin, Vodka, Grenadine, Lime juice, Sugar, Sugar syrup, Soda water. Instructions: Wet glass, dip rim in sugar. Then add Ice. Then add everything else. It's that simple!. Garnished with a minimalist garnish, placed on a dark wooden bar counter, moody lighting --v 5"
Afterglow,"Flat lay, vintage speakeasy style. High-quality photo of a Afterglow, served in a cocktail glass, featuring Fruité, sucré, sucré notes. Made with Grenadine, Orange juice, Pineapple juice. Instructions: Mix. Serve over ice.. Garnished with a fresh fruit slice, placed on a dark wooden bar counter, moody lighting --v 5"
Boomerang,"Flat lay, vintage speakeasy style. High-quality photo of a Boomerang, served in a cocktail glass, featuring Amer, sucré, sucré notes. Made with Gin, Dry Vermouth, Bitters, Maraschino liqueur, Maraschino cherry. Instructions: In a mixing glass half-filled with ice cubes, combine the gin, vermouth, bitters, and maraschino liqueur. Stir well. Strain into a cocktail glass and garnish with the cherry.. Garnished with a minimalist garnish, placed on a dark wooden bar counter, moody lighting --v 5"
Greyhound,"Flat lay, vintage speakeasy style. High-quality photo of a Greyhound, served in a cocktail glass, featuring Fruité, sucré notes. Made with Vodka, Grapefruit Juice. Instructions: Add the vodka to a Collins glass filled with ice.
Top with grapefruit juice and stir.

. Garnished with a fresh fruit slice, placed on a dark wooden bar counter, moody lighting --v 5"
Salty Dog,"Flat lay, vintage speakeasy style. High-quality photo of a Salty Dog, served in a cocktail glass, featuring Fruité, sucré, salé notes. Made with Grapefruit juice, Gin, Salt. Instructions: Pour all ingredients over ice cubes in a highball glass. Stir well and serve. (Vodka may be substituted for gin, if preferred.). Garnished with a fresh fruit slice, placed on a dark wooden bar counter, moody lighting --v 5"
Dragonfly,"Flat lay, vintage speakeasy style. High-quality photo of a Dragonfly, served in a cocktail glass, featuring Acide, épicé, épicé notes. Made with Gin, Ginger ale, Lime. Instructions: In a highball glass almost filled with ice cubes, combine the gin and ginger ale. Stir well. Garnish with the lime wedge.. Garnished with a minimalist garnish, placed on a dark wooden bar counter, moody lighting --v 5"
Orangeade,"Flat lay, vintage speakeasy style. High-quality photo of a Orangeade, served in a cocktail glass, featuring Fruité, sucré notes. Made with Lemon juice, Orange juice, Sugar syrup, Soda water. Instructions: Place some ice cubes in a large tumbler or highball glass, add lemon juice, orange juice, sugar syrup, and stir well. Top up with cold soda water, serve with a drinking straw.. Garnished with a fresh fruit slice, placed on a dark wooden bar counter, moody lighting --v 5"
Pegu Club,"Flat lay, vintage speakeasy style. High-quality photo of a Pegu Club, served in a cocktail glass, featuring Acide, sucré notes. Made with Gin, Orange Curacao, Lime Juice, Angostura Bitters, Orange Bitters. Instructions: Shake, strain, up, cocktail glass. Garnished with a minimalist garnish, placed on a dark wooden bar counter, moody lighting --v 5"
Addington,"Flat lay, vintage speakeasy style. High-quality photo of a Addington, served in a cocktail glass, featuring Amer, sucré notes. Made with Sweet Vermouth, Dry Vermouth, Soda Water. Instructions: Mix both the vermouth's in a shaker and strain into a cold glass. Top up with a squirt of Soda Water. . Garnished with a minimalist garnish, placed on a dark wooden bar counter, moody lighting --v 5"
H.D.,"Flat lay, vintage speakeasy style. High-quality photo of a H.D., served in a cocktail glass, featuring Crémeux notes. Made with Whisky, Baileys irish cream, Coffee. Instructions: Mix the whisky and Baileys Cream in a beer-glass (at least 50 cl). Fill the rest of the glass with coffee.. Garnished with a minimalist garnish, placed on a dark wooden bar counter, moody lighting --v 5"
Shot-gun,"Flat lay, vintage speakeasy style. High-quality photo of a Shot-gun, served in a cocktail glass, featuring Fruité notes. Made with Jim Beam, Jack Daniels, Wild Turkey. Instructions: Pour one part Jack Daneils and one part Jim Beam into shot glass then float Wild Turkey on top.. Garnished with a fresh fruit slice, placed on a dark wooden bar counter, moody lighting --v 5"
Godchild,"Flat lay, vintage speakeasy style. High-quality photo of a Godchild, served in a cocktail glass, featuring Fruité notes. Made with Vodka, Amaretto, Heavy cream. Instructions: Shake all ingredients well with cracked ice, strain into a champagne flute, and serve.. Garnished with a fresh fruit slice, placed on a dark wooden bar counter, moody lighting --v 5"
Thriller,"Flat lay, vintage speakeasy style. High-quality photo of a Thriller, served in a cocktail glass, featuring Fruité, sucré notes. Made with Scotch, Wine, Orange juice. Instructions: In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.. Garnished with a fresh fruit slice, placed on a dark wooden bar counter, moody lighting --v 5"
Lunch Box,"Flat lay, vintage speakeasy style. High-quality photo of a Lunch Box, served in a cocktail glass, featuring Fruité, sucré notes. Made with Beer, Amaretto, Orange juice. Instructions: Fill a pint glass almost full with beer. Then fill the rest with orange juice (careful not to fill it to the top). Then take the shot of Amaretto and drop it in.. Garnished with a fresh fruit slice, placed on a dark wooden bar counter, moody lighting --v 5"
